,pono,pono.level,vuosi,nimi,he_kika,ra_ke,ra_raky,ra_muut,ra_asrak,ra_asunn,ra_as_kpa,ra_pt_as,ra_kt_as,tp_tyopy,tp_alku_a,tp_jalo_bf,tp_palv_gu,tr_mtu,te_takk,te_as_valj,he_naiset,hr_hy_tul,hr_ke_tul,hr_ovy,hr_pi_tul,pt_0_14,pt_elakel,pt_opisk,pt_tyoll,pt_tyott,pt_tyovu,te_aik,te_eil_np,te_elak,te_laps,te_nuor,te_omis_as,te_vuok_as,tr_hy_tul,tr_ke_tul,tr_pi_tul,rakennukset_bin,hinta,naiset_bin,yliopistot,amk
1197,39780,5,2018,Alaskylä,45.0,38.0,122.0,20.0,102.0,109.0,114.9,109.0,0.0,29.0,2.0,4.0,23.0,35609.0,2.3,51.5,88.0,0.142857142857143,0.613095238095238,20482.3035714286,0.244047619047619,0.152380952380952,0.242857142857143,0.0619047619047619,0.414285714285714,0.0904761904761905,0.495238095238095,0.4,0.0222222222222222,0.411111111111111,0.188888888888889,0.0444444444444444,0.977777777777778,0.0,0.112359550561798,0.640449438202247,0.247191011235955,0,955,0,0,0
1198,39810,5,2018,Linnankylä,47.0,248.0,250.0,54.0,196.0,159.0,105.6,159.0,0.0,101.0,12.0,60.0,29.0,34242.0,2.3,46.1,159.0,0.102112676056338,0.598591549295775,18820.7464788732,0.299295774647887,0.142441860465116,0.334302325581395,0.0436046511627907,0.369186046511628,0.0726744186046512,0.558139534883721,0.378571428571429,0.00714285714285714,0.428571428571429,0.207142857142857,0.00714285714285714,0.928571428571429,0.0214285714285714,0.108843537414966,0.591836734693878,0.299319727891156,0,924,0,0,0
1199,39820,5,2018,Kihniö Keskus,49.0,582.0,907.0,174.0,733.0,850.0,89.4,828.0,22.0,399.0,49.0,156.0,193.0,29329.0,2.1,45.3,765.0,0.101140684410646,0.636501901140684,19730.7102661597,0.262357414448669,0.139064475347661,0.357142857142857,0.0423514538558786,0.357774968394437,0.0695322376738306,0.572692793931732,0.392318244170096,0.0164609053497942,0.433470507544582,0.185185185185185,0.0356652949245542,0.761316872427984,0.212620027434842,0.109756097560976,0.531165311653117,0.359078590785908,1,970,0,0,0
1200,39880,5,2018,Kihniö Asemanseutu,51.0,104.0,97.0,4.0,93.0,75.0,93.8,73.0,2.0,11.0,10.0,1.0,0.0,27044.0,2.1,46.6,60.0,0.100840336134454,0.546218487394958,17224.0924369748,0.352941176470588,0.0895522388059701,0.328358208955224,0.0373134328358209,0.373134328358209,0.0671641791044776,0.559701492537313,0.476190476190476,0.0,0.380952380952381,0.142857142857143,0.0158730158730159,0.936507936507937,0.0158730158730159,0.09375,0.546875,0.359375,0,907,0,0,0
1201,39920,5,2018,Suomijärvi,47.0,54.0,115.0,6.0,109.0,97.0,99.3,97.0,0.0,45.0,17.0,21.0,7.0,27058.0,2.1,50.4,75.0,0.131782945736434,0.589147286821705,20101.3100775194,0.27906976744186,0.179012345679012,0.314814814814815,0.0308641975308642,0.351851851851852,0.0679012345679012,0.580246913580247,0.371794871794872,0.0128205128205128,0.435897435897436,0.192307692307692,0.0128205128205128,0.948717948717949,0.0256410256410256,0.115384615384615,0.487179487179487,0.397435897435897,0,844,0,0,0
1202,39930,5,2018,Karvia Keskus,50.0,26.0,524.0,117.0,407.0,625.0,87.4,599.0,26.0,296.0,32.0,52.0,212.0,23505.0,1.8,48.4,535.0,0.0733471074380165,0.645661157024793,18408.5640495868,0.28099173553719,0.103479036574487,0.394290811775201,0.0544157002676182,0.326494201605709,0.0856378233719893,0.587867975022301,0.419965576592083,0.0223752151462995,0.452667814113597,0.134251290877797,0.080895008605852,0.61790017211704,0.349397590361446,0.072041166380789,0.521440823327616,0.406518010291595,0,1017,0,0,0
1203,39940,5,2018,Kantti,47.0,37.0,187.0,19.0,168.0,143.0,106.1,143.0,0.0,90.0,30.0,37.0,23.0,28327.0,2.1,51.7,129.0,0.115740740740741,0.569444444444444,18947.625,0.314814814814815,0.14176245210728,0.371647509578544,0.0383141762452107,0.398467432950192,0.0268199233716475,0.574712643678161,0.377049180327869,0.0245901639344262,0.450819672131148,0.172131147540984,0.0,0.926229508196721,0.0491803278688525,0.138211382113821,0.471544715447154,0.390243902439024,0,878,0,0,0
1204,41410,5,2018,Kankainen,40.0,79.0,99.0,7.0,92.0,88.0,94.2,88.0,0.0,10.0,1.0,1.0,8.0,36391.0,2.5,38.7,91.0,0.167832167832168,0.608391608391608,20805.5734265734,0.223776223776224,0.224489795918367,0.224489795918367,0.0714285714285714,0.352040816326531,0.0969387755102041,0.551020408163265,0.384615384615385,0.0,0.384615384615385,0.256410256410256,0.0384615384615385,0.935897435897436,0.0384615384615385,0.115384615384615,0.666666666666667,0.217948717948718,0,876,0,0,0
1205,39960,5,2018,Sarvela,48.0,113.0,280.0,40.0,240.0,214.0,105.2,214.0,0.0,164.0,48.0,95.0,21.0,30434.0,2.3,48.2,200.0,0.0956284153005464,0.617486338797814,19707.4480874317,0.286885245901639,0.136054421768707,0.317460317460317,0.0498866213151927,0.399092970521542,0.0702947845804989,0.530612244897959,0.35978835978836,0.00529100529100529,0.46031746031746,0.19047619047619,0.0158730158730159,0.973544973544973,0.0105820105820106,0.118556701030928,0.515463917525773,0.365979381443299,0,963,0,0,0
1206,39965,5,2018,Karviankylä,47.0,61.0,108.0,13.0,95.0,87.0,97.1,87.0,0.0,48.0,18.0,30.0,0.0,32970.0,2.5,41.9,88.0,0.116438356164384,0.589041095890411,19210.0890410959,0.294520547945205,0.175824175824176,0.373626373626374,0.043956043956044,0.346153846153846,0.0494505494505494,0.604395604395604,0.298701298701299,0.0,0.506493506493506,0.207792207792208,0.0,0.961038961038961,0.012987012987013,0.0933333333333333,0.626666666666667,0.28,0,901,0,0,0
